# obs_filter	rest_filter	obs_central	rest_central	beta		similarity
bass g         	bass g         	4.760715e+03	4.760715e+03	1.000000e+00	1.000000e+00
bass g         	bass r         	4.760715e+03	6.412029e+03	7.424662e-01	9.931736e-01
bass g         	decam g        	4.760715e+03	4.843968e+03	9.828130e-01	9.650976e-01
bass g         	decam r        	4.760715e+03	6.439516e+03	7.392970e-01	9.976186e-01
bass g         	decam z        	4.760715e+03	9.171527e+03	5.190755e-01	9.628307e-01
bass g         	sdss g         	4.760715e+03	4.717603e+03	1.009139e+00	9.729918e-01
bass g         	sdss r         	4.760715e+03	6.186803e+03	7.694952e-01	9.414869e-01
bass g         	sdss z         	4.760715e+03	8.918228e+03	5.338185e-01	9.086182e-01
bass r         	bass g         	6.412029e+03	4.760715e+03	1.346863e+00	9.931736e-01
bass r         	bass r         	6.412029e+03	6.412029e+03	1.000000e+00	1.000000e+00
bass r         	decam g        	6.412029e+03	4.843968e+03	1.323714e+00	9.611310e-01
bass r         	decam r        	6.412029e+03	6.439516e+03	9.957315e-01	9.919947e-01
bass r         	decam z        	6.412029e+03	9.171527e+03	6.991234e-01	9.730714e-01
bass r         	sdss g         	6.412029e+03	4.717603e+03	1.359171e+00	9.726566e-01
bass r         	sdss r         	6.412029e+03	6.186803e+03	1.036404e+00	9.450656e-01
bass r         	sdss z         	6.412029e+03	8.918228e+03	7.189802e-01	9.221679e-01
decam g        	bass g         	4.843968e+03	4.760715e+03	1.017488e+00	9.650976e-01
decam g        	bass r         	4.843968e+03	6.412029e+03	7.554501e-01	9.611310e-01
decam g        	decam g        	4.843968e+03	4.843968e+03	1.000000e+00	1.000000e+00
decam g        	decam r        	4.843968e+03	6.439516e+03	7.522255e-01	9.652164e-01
decam g        	decam z        	4.843968e+03	9.171527e+03	5.281529e-01	9.112827e-01
decam g        	sdss g         	4.843968e+03	4.717603e+03	1.026786e+00	9.893337e-01
decam g        	sdss r         	4.843968e+03	6.186803e+03	7.829518e-01	9.568899e-01
decam g        	sdss z         	4.843968e+03	8.918228e+03	5.431537e-01	8.768035e-01
decam r        	bass g         	6.439516e+03	4.760715e+03	1.352636e+00	9.976186e-01
decam r        	bass r         	6.439516e+03	6.412029e+03	1.004287e+00	9.919947e-01
decam r        	decam g        	6.439516e+03	4.843968e+03	1.329389e+00	9.652164e-01
decam r        	decam r        	6.439516e+03	6.439516e+03	1.000000e+00	1.000000e+00
decam r        	decam z        	6.439516e+03	9.171527e+03	7.021204e-01	9.567290e-01
decam r        	sdss g         	6.439516e+03	4.717603e+03	1.364998e+00	9.691168e-01
decam r        	sdss r         	6.439516e+03	6.186803e+03	1.040847e+00	9.317680e-01
decam r        	sdss z         	6.439516e+03	8.918228e+03	7.220623e-01	9.073095e-01
decam z        	bass g         	9.171527e+03	4.760715e+03	1.926502e+00	9.628307e-01
decam z        	bass r         	9.171527e+03	6.412029e+03	1.430363e+00	9.730714e-01
decam z        	decam g        	9.171527e+03	4.843968e+03	1.893391e+00	9.112827e-01
decam z        	decam r        	9.171527e+03	6.439516e+03	1.424257e+00	9.567290e-01
decam z        	decam z        	9.171527e+03	9.171527e+03	1.000000e+00	1.000000e+00
decam z        	sdss g         	9.171527e+03	4.717603e+03	1.944107e+00	9.317032e-01
decam z        	sdss r         	9.171527e+03	6.186803e+03	1.482434e+00	9.182363e-01
decam z        	sdss z         	9.171527e+03	8.918228e+03	1.028402e+00	9.504370e-01
sdss g         	bass g         	4.717603e+03	4.760715e+03	9.909441e-01	9.729918e-01
sdss g         	bass r         	4.717603e+03	6.412029e+03	7.357425e-01	9.726566e-01
sdss g         	decam g        	4.717603e+03	4.843968e+03	9.739128e-01	9.893337e-01
sdss g         	decam r        	4.717603e+03	6.439516e+03	7.326021e-01	9.691168e-01
sdss g         	decam z        	4.717603e+03	9.171527e+03	5.143749e-01	9.317032e-01
sdss g         	sdss g         	4.717603e+03	4.717603e+03	1.000000e+00	1.000000e+00
sdss g         	sdss r         	4.717603e+03	6.186803e+03	7.625268e-01	9.851815e-01
sdss g         	sdss z         	4.717603e+03	8.918228e+03	5.289843e-01	9.046180e-01
sdss r         	bass g         	6.186803e+03	4.760715e+03	1.299553e+00	9.414869e-01
sdss r         	bass r         	6.186803e+03	6.412029e+03	9.648744e-01	9.450656e-01
sdss r         	decam g        	6.186803e+03	4.843968e+03	1.277218e+00	9.568899e-01
sdss r         	decam r        	6.186803e+03	6.439516e+03	9.607559e-01	9.317680e-01
sdss r         	decam z        	6.186803e+03	9.171527e+03	6.745663e-01	9.182363e-01
sdss r         	sdss g         	6.186803e+03	4.717603e+03	1.311429e+00	9.851815e-01
sdss r         	sdss r         	6.186803e+03	6.186803e+03	1.000000e+00	1.000000e+00
sdss r         	sdss z         	6.186803e+03	8.918228e+03	6.937256e-01	9.166188e-01
sdss z         	bass g         	8.918228e+03	4.760715e+03	1.873296e+00	9.086182e-01
sdss z         	bass r         	8.918228e+03	6.412029e+03	1.390859e+00	9.221679e-01
sdss z         	decam g        	8.918228e+03	4.843968e+03	1.841099e+00	8.768035e-01
sdss z         	decam r        	8.918228e+03	6.439516e+03	1.384922e+00	9.073095e-01
sdss z         	decam z        	8.918228e+03	9.171527e+03	9.723820e-01	9.504370e-01
sdss z         	sdss g         	8.918228e+03	4.717603e+03	1.890415e+00	9.046180e-01
sdss z         	sdss r         	8.918228e+03	6.186803e+03	1.441492e+00	9.166188e-01
sdss z         	sdss z         	8.918228e+03	8.918228e+03	1.000000e+00	1.000000e+00
