CATAID       OBJID             RA          DEC      R_PETRO    ZGAMA   NQ ... SURVEY_CLASS UMAG_DRED_SDSS GMAG_DRED_SDSS RMAG_DRED_SDSS IMAG_DRED_SDSS ZMAG_DRED_SDSS
                              deg          deg        mag                 ...                   mag            mag            mag            mag            mag      
------ ------------------ ------------ ----------- ---------- ------- --- ... ------------ -------------- -------------- -------------- -------------- --------------
585589 588848899914203328 183.48064782 -0.15822451  19.453074 0.18341   4 ...            5      21.894562       20.52974      19.453663      18.945805      18.579258
585591 588848899914203338 183.49789499 -0.16766405  17.603594 0.12429   5 ...            6      19.758217      18.387272       17.65539      17.203344        16.9255
919107 588848899914203331 183.48960919 -0.18662595  20.020039    -1.0   0 ...            1       21.41414      20.356668      20.068037      19.943966      19.805355
585592 588848899914203383 183.46286329 -0.08433424  18.439117   0.179   4 ...            6      21.375816      19.530548      18.330122      17.764397      17.359926
585597 588848899914203421 183.45941744 -0.14743476  19.627613 0.43697   4 ...            5      21.248838      20.511686      19.509012      19.120184       18.97181
919116 588848899914203440 183.52976588 -0.13046733  20.035206    -1.0   0 ...            1      24.448362      21.581064      19.873873       19.16066       18.78938
585600 588848899914203456 183.42823656 -0.02442331  19.335196 0.12242   4 ...            6      20.904034      19.648397      19.229986      18.944212      18.885782
585601 588848899914203457  183.4293652 -0.05253383  19.350739 0.02031   3 ...            6      20.477499      19.578978      19.268719      19.187151       19.26956
919119 588848899914203461 183.44310775 -0.00932751  19.919361    -1.0   0 ...            1      21.705256      20.310837      20.039038      19.757977      19.768595
585603 588848899914203511 183.50219516 -0.16954766   19.42929 0.08914   4 ...            5      20.404564      19.604887      19.355776      19.150723      19.380806
585605 588848899914268764 183.65667401 -0.10503087  17.816011  -5e-05   4 ...            0      24.535494      18.788181      17.855606       17.28496        16.9768
585607 588848899914268848 183.60160175 -0.18627266  18.615673 0.18484   4 ...            6      19.831152      19.083632      18.618288      18.319872      18.317358
585606 588848899914268827 183.57423313 -0.07826632  17.959646 0.24766   5 ...            6      22.035128      19.377728      17.913776      17.397978      17.044468
